geoid,county_name,group,is_pre2000,is_buildout,is_hyperscale,near_dc_2000,near_dc_2015,near_dc_2023,dist_nearest_dc_2000_km,dist_nearest_dc_2015_km,dist_nearest_dc_2023_km,med_home_value,med_rent,med_hh_income,renter_ratio,rent_burden,year,post_2015,post_2023,pre2000_x_post_2015,pre2000_x_post_2023,buildout_x_post_2015,buildout_x_post_2023,log_med_home_value,log_med_rent,log_med_hh_income,inv_dist_2023,propensity_score,in_matched_sample
06067006502,Sacramento County,pre2000,1,0,0,True,True,True,4.39,4.39,4.39,,,,,,2015,1,0,1,0,0,0,,,,0.22779043280182235,,True
06067006706,Sacramento County,pre2000,1,0,0,True,True,True,3.74,3.74,3.74,,,,,,2015,1,0,1,0,0,0,,,,0.267379679144385,,True
06067007027,Sacramento County,pre2000,1,0,0,True,True,True,2.62,1.91,1.91,,,,,,2015,1,0,1,0,0,0,,,,0.5235602094240838,,True
06067003700,Sacramento County,control,0,0,0,False,False,False,13.1,12.56,12.56,111300.0,991.0,23889.0,0.6888217522658611,0.4978023358030893,2015,1,0,0,0,0,0,11.619984537263637,6.898714534329988,10.081173380925554,0.07961783439490445,0.29846258083372745,True
06067002100,Sacramento County,buildout,0,1,0,False,True,True,9.13,8.34,8.34,380000.0,875.0,41583.0,0.8669097538742023,0.252507034124522,2015,1,0,0,0,1,0,12.84792653170257,6.774223886357614,10.635446708881462,0.11990407673860912,0.3541304819451017,True
06067007206,Sacramento County,pre2000,1,0,0,True,True,True,8.4,8.4,8.4,173300.0,1325.0,60179.0,0.23125,0.26421176822479603,2015,1,0,1,0,0,0,12.062779475703698,7.1891677384203225,11.005078733229757,0.11904761904761904,0.0806492732426689,True
06067007207,Sacramento County,pre2000,1,0,0,True,True,True,8.09,8.09,8.09,216500.0,1154.0,56850.0,0.15252976190476192,0.24358839050131925,2015,1,0,1,0,0,0,12.285345826424681,7.050989447068045,10.948171499178683,0.12360939431396786,0.10774844834393583,True
06067007204,Sacramento County,pre2000,1,0,0,True,True,True,3.94,3.94,3.94,161900.0,1457.0,55284.0,0.23215523215523215,0.31625786846103754,2015,1,0,1,0,0,0,11.994734139665727,7.284134806195205,10.920238814723918,0.25380710659898476,0.0871958614212182,True
06067007209,Sacramento County,pre2000,1,0,0,True,True,True,5.77,5.77,5.77,166000.0,1163.0,46414.0,0.2190784155214228,0.3006851381048821,2015,1,0,1,0,0,0,12.01974306733868,7.0587581525186645,10.745356416842704,0.1733102253032929,0.1337382590275274,True
06067007208,Sacramento County,pre2000,1,0,0,True,True,True,4.2,4.2,4.2,173700.0,1289.0,55410.0,0.28297872340425534,0.2791553871142393,2015,1,0,1,0,0,0,12.065084952229196,7.161622002939187,10.922515361861395,0.23809523809523808,0.1172433520710469,True
06067007413,Sacramento County,pre2000,1,0,0,True,True,True,8.72,8.72,8.72,126400.0,873.0,39198.0,0.4674167838724801,0.267258533598653,2015,1,0,1,0,0,0,11.747206760694894,6.771935555839602,10.576381004068805,0.1146788990825688,0.24901317408227566,True
06067006101,Sacramento County,pre2000,1,0,0,True,True,True,8.92,8.92,8.92,236400.0,803.0,33051.0,0.6072971675468075,0.29154942361804487,2015,1,0,1,0,0,0,12.37328056451408,6.688354713946762,10.405807102008175,0.11210762331838565,0.191049458886853,True
06067006202,Sacramento County,pre2000,1,0,0,True,True,True,6.94,6.94,6.94,113000.0,776.0,23732.0,0.7006849315068493,0.39238159447159954,2015,1,0,1,0,0,0,11.635143097694478,6.654152520183219,10.074579627378533,0.1440922190201729,0.2916977954215427,True
06067006300,Sacramento County,pre2000,1,0,0,True,True,True,6.04,6.04,6.04,123500.0,978.0,30328.0,0.5705632949727438,0.38696913743075706,2015,1,0,1,0,0,0,11.72399643505017,6.885509670034818,10.31982665719617,0.16556291390728478,0.22636997522901722,True
